Volume,Chapter,Paragraph,Line,LineId,Text
6,1,5,12,6010512,"     ""A fine thing,""  said Tayu~, feigning great surprise. ""Genji has come. He is always complaining about what a bad correspondent you are, and I have had to say that there is little I can do. And so he said that he would come himself and give you a lesson in manners. And how am I to answer him now? These expeditions are not easy for him and it would be cruel to send him away. Suppose you speak to him--through your curtains, of course."""
6,1,5,13,6010513,
6,1,5,14,6010514,
6,1,5,15,6010515,    The princess stammered that she would not know what to say and withdrew to an inner room. Tayu~ thought her childish.
6,1,5,16,6010516,"     ""You are very inexperienced, my lady,""  she said with a smile.  ""It is all right for people in your august position to make a show of innocence when they have parents and relatives to look after them, but your rather sad circumstances make this reserve seem somehow out of place."""
6,1,5,17,6010517,"    The princess was not, after all, one to resist very stoutly."
6,1,5,18,6010518,"  ""If I need not speak to him but only listen, and if you will lower the shutters, I shall receive him."""
6,1,5,19,6010519,"     ""And leave him out on the veranda? That would not do at all. He is not a man, I assure you, to do anything improper."""
6,1,5,20,6010520,"  Tayu~ spoke with great firmness. She barred the doors, having put out a cushion for Genji in the next room."
6,1,5,21,6010521,"    The lady was very shy indeed. Not having the faintest notion how to address such a fine gentleman, she put herself in Tayu~'s hands. She sighed and told herself that Tayu~ must have her reasons.
    Her old nurse had gone off to have a nap. The two or three young women who were still with the princess were in a fever to see this gentleman of whom the whole world was talking. Since the princess did not seem prepared to do anything for herself, Tayu~ changed her into presentable clothes and otherwise got her ready."
6,1,5,22,6010522," Genji had dressed himself carefully though modestly and presented a very handsome figure indeed. How she would have liked to show him to someone capable of appreciating him, thought Tayu~. Here his charms were wasted. But there was one thing she need not fear: an appearance of forwardness or impertinence on the part of the princess. Yet she was troubled, for she did fear that even as she was acquitted of the delinquency with which Genji was always charging her, she might be doing injury to the princess."
6,1,5,23,6010523,"    Genji was certain that he need not fear being dazzled--indeed the certainty was what had drawn him to her. He caught a faint, pleasing scent, and a soft rustling as her women urged her forward. They suggested serenity and repose such as to convince him that his attentions were not misplaced. Most eloquently, he told her how much she had been in his thoughts over the months. The muteness seemed if anything more unsettling from near at hand than from afar."
6,1,5,24,6010524,"          ""Countless times your silence has silenced me.<br>         My hope is that you hope for something better."
6,1,5,25,6010525,"    ""Why do you not tell me clearly that you dislike me?'Uncertainty weaves a sadly tangled web.'""*"
6,1,5,26,6010526,"    Her nurse's daughter, a clever young woman, finding the silence unbearable, came to the princess's side and offered a reply:"
6,1,5,27,6010527,"            ""I cannot ring a bell enjoining silence.<br>           Silence, strangely, is my only answer."" +"
6,1,5,28,6010528,"    The young voice had a touch of something like garrulity in it. Unaware that it was not the princess's, Genji thought it oddly unrestrained and, given her rank, even somewhat coquettish."
6,1,5,29,6010529,"     ""I am quite speechless myself."
6,1,5,30,6010530,"          ""Silence, I know, is finer by far than words.<br>       Its sister, dumbness, at times is rather painful."""
6,1,5,31,6010531,"    He talked on, now joking and now earnestly entreating, but there was no further response."
6,1,5,32,6010532," It was all very strange--her mind did not seem to work as others did. Finally losing patience, he slid the door open.#"
6,1,5,33,6010533," Tayu~ was aghast--he had assured her that he would behave himself. Though concerned for the poor princess, she slipped off to her own room as if nothing had happened. The princess's young women were less disturbed. Such misdemeanors were easy to forgive when the culprit was so uniquely handsome. Their reproaches were not very loud, though they could see that their lady was in a state of shock, so swiftly had it happened."
6,1,5,34,6010534," She was incapable now of anything but dazed silence. It was strange and wonderful, thought Genji, that the world still contained such a lady. A measure of eccentricity could be excused in a lady who had lived so sheltered a life. He was both puzzled and sympathetic."
6,1,5,35,6010535,"    But how, given her limited resources, was the lady to win his affection? It was with much disappointment that he departed late in the night. Though Tayu~ had been listening carefully, she pretended that she did not know of his departure and did not come out to see him off. He would have had nothing to say to her."
6,1,6,1,6010601,"    Back at Nijo~ he lay down to rest, with many a sigh that the world failed to present him with his ideal lady. And it would not be easy to treat the princess as if nothing had happened, for she was after all a princess.
    To~ no Chu~jo~ interrupted unhappy thoughts."
6,1,6,2,6010602," ""What an uncommonly late sleeper you are. There must be reasons."""
6,1,6,3,6010603,
6,1,6,4,6010604,"     ""I was allowing myself a good rest in my lonely bed. Have you come from the palace?"""
6,1,6,5,6010605,
6,1,6,6,6010606,"     ""I just left. I was told last night that the musicians and dancers for His Majesty's outing had to be decided on today and was on my way to report to my father. I will be going straight back."""
6,1,6,7,6010607,  He seemed in a great hurry.
6,1,6,8,6010608,"     ""Suppose I go with you."""
6,1,6,9,6010609,"    Breakfast was brought in. Though there were two carriages, they chose to ride together."
6,1,6,10,6010610," Genji still seemed very sleepy, said his friend, and very secretive too."
6,1,6,11,6010611,
6,1,6,12,6010612,
6,1,6,13,6010613,
6,1,6,14,6010614," With many details of the royal outing still to be arranged, Genji was at the palace through the day."
6,1,6,15,6010615,"    He felt somewhat guilty about not getting off a note to the princess, but it was evening when he dispatched his messenger. Though it had begun to rain, he apparently had little inclination to seek again that shelter from the rain. Tayu~ felt very sorry for the princess as the conventional hour for a note came and went. Though embarrassed, the princess was not one to complain. Evening came, and still there was only silence.
    This is what his messenger finally brought:"
6,1,6,16,6010616,"          ""The gloomy evening mists have not yet cleared,<br>         And now comes rain, to bring still darker gloom."
6,1,6,17,6010617,"    ""You may imagine my restlessness, waiting for the skies to clear."""
6,1,6,18,6010618,"    Though surprised at this indication that he did not intend to visit,"
6,1,6,19,6010619, her women pressed her to answer.
6,1,6,20,6010620," More and more confused, however, she was not capable of putting together the most ordinary note. Agreeing with her nurse's daughter that it was growing very late, she finally sent this:"
6,1,6,21,6010621,"       ""My village awaits the moon on a cloudy night.<br>     You may imagine the gloom, though you do not share it."""
6,1,6,22,6010622,"    She set it down on paper so old that the purple had faded to an alkaline gray. The hand was a strong one all the same, in an old-fashioned style, the lines straight and prim. Genji scarcely looked at it."
6,1,6,23,6010623, He wondered what sort of expectations he had aroused.
6,1,6,24,6010624," No doubt he was having what people call second thoughts. Well, there was no alternative. He must look after her to the end. At the princess's house, where of course these good intentions were not known, despondency prevailed."
6,1,6,25,6010625,    In the evening he was taken off to Sanjo~ by his father-in-law. Everyone was caught up in preparations for the outing. Young men gathered to discuss them and their time was passed in practice at dance and music.
6,1,6,26,6010626," Indeed the house quite rang with music, and flute and flageolet sounded proud and high as seldom before. Sometimes one of them would even bring a drum up from the garden and pound at it on the veranda."
6,1,6,27,6010627," With all these exciting matters to occupy him, Genji had time for only the most necessary visits; and so autumn came to a close. The princess's hopes seemed, as the weeks went by, to have come to nothing."
6,1,7,1,6010701,    The outing approached. In the midst of the final rehearsals Tayu~ came to Genji's rooms in the palace
6,1,7,2,6010702,"     ""How is everything?""  he asked, somewhat guiltily."
6,1,7,3,6010703,"    She told him. ""You have so neglected her that you have made things difficult for us who must be with her."""
6,1,7,4,6010704,"  She seemed ready to weep.
    She had hoped, Genji surmised, to make the princess seem remote and alluring, and he had spoiled her plans. She must think him very unfeeling. And the princess, brooding her days away, must be very sad indeed."
6,1,7,5,6010705," But there was nothing to be done. He simply did not have the time.
     ""I had thought to help her grow up,"""
6,1,7,6,6010706,"  he said, smiling.
    Tayu~ had to smile too. He was so young and handsome, and at an age when it was natural that he should have women angry at him. It was natural too that he should be somewhat selfish."
6,1,7,7,6010707,    When he had a little more time to himself he occasionally called on the princess.
6,1,7,8,6010708," But he had found the little girl, his Murasaki, and she had made him her captive. He neglected even the lady at Rokujo~, and was of course still less inclined to visit this new lady, much though he felt for her. Her excessive shyness made him suspect that she would not delight the eye in any great measure. Yet he might be pleasantly surprised. It had been a dark night, and perhaps it was the darkness that had made her seem so odd. He must have a look at her face--and at the same time he rather dreaded trimming the lamp.
    One evening when the princess was passing the time with her women he stole up to the main hall, opened a door slightly, and looked inside."
